CMDLINE C:\Python312\python.exe pipelines/clean_fire_data.py
MEM 706.984375 1746033036.6978
MEM 707.585938 1746033036.7984
MEM 708.113281 1746033036.8988
MEM 708.578125 1746033036.9991
MEM 709.113281 1746033037.0993
MEM 709.640625 1746033037.1994
MEM 710.039062 1746033037.2997
MEM 710.109375 1746033037.4024
MEM 710.378906 1746033037.5043
MEM 710.769531 1746033037.6049
MEM 711.167969 1746033037.7054
MEM 711.417969 1746033037.8058
MEM 711.898438 1746033037.9062
MEM 712.367188 1746033038.0067
MEM 712.636719 1746033038.1070
MEM 713.101562 1746033038.2073
MEM 713.437500 1746033038.3076
MEM 713.964844 1746033038.4081
MEM 714.492188 1746033038.5084
MEM 714.765625 1746033038.6091
MEM 715.230469 1746033038.7093
MEM 715.757812 1746033038.8098
MEM 716.285156 1746033038.9104
MEM 716.621094 1746033039.0110
MEM 717.085938 1746033039.1114
MEM 717.550781 1746033039.2119
MEM 718.078125 1746033039.3125
MEM 718.386719 1746033039.4128
MEM 718.878906 1746033039.5130
MEM 719.343750 1746033039.6134
MEM 719.742188 1746033039.7138
MEM 720.207031 1746033039.8143
MEM 720.671875 1746033039.9146
MEM 721.140625 1746033040.0152
MEM 721.730469 1746033040.1155
MEM 721.988281 1746033040.2159
MEM 722.464844 1746033040.3160
MEM 722.933594 1746033040.4166
MEM 723.527344 1746033040.5168
MEM 723.726562 1746033040.6184
MEM 724.191406 1746033040.7196
MEM 724.722656 1746033040.8199
MEM 725.320312 1746033040.9203
MEM 725.785156 1746033041.0206
MEM 726.320312 1746033041.1212
MEM 726.847656 1746033041.2218
MEM 727.378906 1746033041.3224
MEM 727.847656 1746033041.4228
MEM 728.304688 1746033041.5234
MEM 728.867188 1746033041.6238
MEM 729.375000 1746033041.7245
MEM 729.550781 1746033041.8315
MEM 729.710938 1746033041.9530
MEM 729.976562 1746033042.0545
MEM 730.238281 1746033042.1568
MEM 730.503906 1746033042.2613
MEM 730.703125 1746033042.3616
MEM 730.968750 1746033042.4622
MEM 731.167969 1746033042.5627
MEM 731.503906 1746033042.6629
MEM 731.769531 1746033042.7634
MEM 732.296875 1746033042.8640
MEM 732.562500 1746033042.9643
MEM 733.031250 1746033043.0646
MEM 733.500000 1746033043.1652
MEM 733.894531 1746033043.2656
MEM 734.363281 1746033043.3659
MEM 734.828125 1746033043.4661
MEM 735.273438 1746033043.5668
MEM 735.691406 1746033043.6678
MEM 735.945312 1746033043.7693
MEM 736.351562 1746033043.8699
MEM 736.625000 1746033043.9708
MEM 737.089844 1746033044.0716
MEM 737.488281 1746033044.1723
MEM 737.953125 1746033044.2726
MEM 738.417969 1746033044.3729
MEM 738.746094 1746033044.4732
MEM 739.273438 1746033044.5739
MEM 739.742188 1746033044.6741
MEM 740.082031 1746033044.7744
